Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Gambia, The",GMB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,548107724.741477,621146661.889594,..
Georgia,GEO,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7557441721.45846,8898149244.30764,9580781377.52386
Georgia,GEO,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,9344910838.13,10768594069,11105361317.92
Germany,DEU,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1738342097541.18,1877737746814.9,1810593293176.47
Germany,DEU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1481481521241.62,1632280558102.6,1587677965792.75
Ghana,GHA,Exports of goods and services (current US$),NE.EXP.GNFS.CD,20801563774.2788,23118048350.1625,24098556292.4062
Ghana,GHA,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,22122770000,23219911781.5436,..
Gibraltar,GIB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Gibraltar,GIB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Greece,GRC,Exports of goods and services (current US$),NE.EXP.GNFS.CD,67164628376.7895,78811714870.1976,78038964372.4077
Greece,GRC,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,71760870931.8754,85802967855.95,83192116846.2374
Greenland,GRL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1156128367.83837,1245985493.93469,..
Greenland,GRL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Grenada,GRD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,578148148.148148,621851851.851852,632222222.222222
Grenada,GRD,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,598708880.802685,644699106.111707,..
Guam,GUM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1129000000,1165000000,..
Guam,GUM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,..,..,..
Guatemala,GTM,Exports of goods and services (current US$),NE.EXP.GNFS.CD,13252465466.3237,13323208187.0412,13574693569.9715
Guatemala,GTM,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,19770320900,21179092900,21601406060
Guinea,GIN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,4611027662.1547,4101524584.58559,3762688441.95728
Guinea,GIN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4239940000,4183670000,4320100000
Guinea-Bissau,GNB,Exports of goods and services (current US$),NE.EXP.GNFS.CD,374997825.737652,369612554.944536,314738927.925914
Guinea-Bissau,GNB,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,445468403.600995,458908165.318533,..
Guyana,GUY,Exports of goods and services (current US$),NE.EXP.GNFS.CD,..,..,..
Guyana,GUY,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2216919028.8149,3037639390.27012,..
Haiti,HTI,Exports of goods and services (current US$),NE.EXP.GNFS.CD,1557912175.68823,1768470430.51025,1586190583.04758
Haiti,HTI,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4676888727.38437,5670990520.64727,..
Heavily indebted poor countries (HIPC),HPC,Exports of goods and services (current US$),NE.EXP.GNFS.CD,166885901714.879,183574256832.208,182231850591.076
Heavily indebted poor countries (HIPC),HPC,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,223790626892.588,245250661473.316,..
High income,HIC,Exports of goods and services (current US$),NE.EXP.GNFS.CD,16142937478400.4,17562927552263.8,17228766950306.4
High income,HIC,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,15572785035556.4,17019607866848.1,16732787518050.9
Honduras,HND,Exports of goods and services (current US$),NE.EXP.GNFS.CD,10082624078.7496,10032351993.7078,10099871473.1624
Honduras,HND,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10853329867.2112,11844905854.8393,11497521894.726
"Hong Kong SAR, China",HKG,Exports of goods and services (current US$),NE.EXP.GNFS.CD,644673433249.5,681282515787.459,649000752944.78
"Hong Kong SAR, China",HKG,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,641126699123.695,682046218800.925,642801020261.964
Hungary,HUN,Exports of goods and services (current US$),NE.EXP.GNFS.CD,122961374954.452,134579292776.65,134352236289.823
Hungary,HUN,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,113478602116.229,127516912147.081,129223773927.874
IBRD only,IBD,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7041588771237.76,7852467820970.81,7788101439332.98
IBRD only,IBD,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,6763892952961.3,7587295224316.63,7438738579859.61
Iceland,ISL,Exports of goods and services (current US$),NE.EXP.GNFS.CD,11290680187.6924,12229403876.9627,10962010845.86
Iceland,ISL,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10308748558.7947,11460658877.6469,9780784704.13449
IDA & IBRD total,IBT,Exports of goods and services (current US$),NE.EXP.GNFS.CD,7438316761691.74,8298057278655.63,8247409592320.83
